month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price
2004-02,BUKIT TIMAH,3 ROOM,3,QUEEN'S RD,07 TO 09,76,Improved,1974,216000
2004-02,BUKIT TIMAH,4 ROOM,14,TOH YI DR,07 TO 09,104,Model A,1988,295000
2004-02,BUKIT TIMAH,EXECUTIVE,3,TOH YI DR,07 TO 09,146,Maisonette,1988,474000
2004-02,BUKIT TIMAH,EXECUTIVE,10,TOH YI DR,04 TO 06,146,Maisonette,1989,460000
2004-03,BUKIT TIMAH,4 ROOM,6,FARRER RD,07 TO 09,91,Improved,1974,288000
2004-03,BUKIT TIMAH,4 ROOM,4,TOH YI DR,04 TO 06,104,Model A,1988,275000
2004-03,BUKIT TIMAH,4 ROOM,9,TOH YI DR,07 TO 09,104,Model A,1989,303500
2004-03,BUKIT TIMAH,5 ROOM,5,FARRER RD,10 TO 12,120,Standard,1974,365000
2004-03,BUKIT TIMAH,EXECUTIVE,7,TOH YI DR,10 TO 12,142,Apartment,1989,490000
2004-03,BUKIT TIMAH,EXECUTIVE,15,TOH YI DR,01 TO 03,146,Maisonette,1988,402000
2004-03,BUKIT TIMAH,EXECUTIVE,2,TOH YI DR,10 TO 12,146,Maisonette,1988,500000
2004-04,BUKIT TIMAH,3 ROOM,8,EMPRESS RD,13 TO 15,65,Improved,1976,198000
2004-04,BUKIT TIMAH,4 ROOM,17,TOH YI DR,10 TO 12,104,Model A,1988,330000
2004-04,BUKIT TIMAH,4 ROOM,4,TOH YI DR,10 TO 12,104,Model A,1988,310000
2004-04,BUKIT TIMAH,5 ROOM,17,TOH YI DR,10 TO 12,122,Improved,1988,400000
2004-04,BUKIT TIMAH,5 ROOM,5,FARRER RD,07 TO 09,123,Standard,1974,455000
2004-04,BUKIT TIMAH,5 ROOM,5,FARRER RD,07 TO 09,123,Standard,1974,405000
2004-05,BUKIT TIMAH,3 ROOM,6,FARRER RD,04 TO 06,76,Improved,1974,210000
2004-05,BUKIT TIMAH,4 ROOM,3,QUEEN'S RD,04 TO 06,91,Improved,1974,258000
2004-05,BUKIT TIMAH,4 ROOM,3,QUEEN'S RD,04 TO 06,91,Improved,1974,262600
2004-05,BUKIT TIMAH,4 ROOM,17,TOH YI DR,04 TO 06,104,Model A,1988,307000
2004-05,BUKIT TIMAH,4 ROOM,11,TOH YI DR,10 TO 12,104,Model A,1989,294500
2004-05,BUKIT TIMAH,5 ROOM,11,TOH YI DR,01 TO 03,122,Improved,1989,368000
2004-05,BUKIT TIMAH,5 ROOM,1,QUEEN'S RD,13 TO 15,125,Standard,1974,400000
2004-05,BUKIT TIMAH,EXECUTIVE,3,TOH YI DR,01 TO 03,146,Maisonette,1988,392000
2004-06,BUKIT TIMAH,5 ROOM,5,TOH YI DR,13 TO 15,128,Improved,1989,398000
2004-06,BUKIT TIMAH,EXECUTIVE,7,TOH YI DR,07 TO 09,142,Apartment,1989,484000
2004-06,BUKIT TIMAH,EXECUTIVE,2,TOH YI DR,10 TO 12,146,Maisonette,1988,490000
2004-07,BUKIT TIMAH,3 ROOM,8,EMPRESS RD,04 TO 06,65,Improved,1976,185000
2004-07,BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,10 TO 12,73,Improved,1974,235000
2004-07,BUKIT TIMAH,4 ROOM,6,FARRER RD,01 TO 03,91,Improved,1974,270000
2004-07,BUKIT TIMAH,4 ROOM,1,TOH YI DR,04 TO 06,104,Model A,1988,302000
2004-07,BUKIT TIMAH,5 ROOM,5,TOH YI DR,13 TO 15,122,Improved,1989,395000
2004-07,BUKIT TIMAH,5 ROOM,5,FARRER RD,19 TO 21,123,Standard,1974,460000
2004-08,BUKIT TIMAH,3 ROOM,8,EMPRESS RD,10 TO 12,65,Improved,1976,216000
2004-08,BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,10 TO 12,63,Improved,1974,195000
2004-08,BUKIT TIMAH,4 ROOM,6,FARRER RD,04 TO 06,91,Improved,1974,275000
2004-08,BUKIT TIMAH,4 ROOM,9,TOH YI DR,10 TO 12,104,Model A,1989,305000
2004-08,BUKIT TIMAH,EXECUTIVE,7,TOH YI DR,10 TO 12,154,Maisonette,1989,488000
2004-09,BUKIT TIMAH,3 ROOM,8,EMPRESS RD,07 TO 09,65,Improved,1976,182000
2004-09,BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,04 TO 06,73,Improved,1974,185000
2004-09,BUKIT TIMAH,4 ROOM,3,QUEEN'S RD,04 TO 06,91,Improved,1974,250000
2004-09,BUKIT TIMAH,4 ROOM,17,TOH YI DR,10 TO 12,104,Model A,1988,280000
2004-09,BUKIT TIMAH,4 ROOM,5,TOH YI DR,10 TO 12,104,Model A,1989,327000
2004-09,BUKIT TIMAH,5 ROOM,5,FARRER RD,07 TO 09,123,Standard,1974,412000
2004-10,BUKIT TIMAH,3 ROOM,8,EMPRESS RD,10 TO 12,65,Improved,1976,190000
2004-10,BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,07 TO 09,73,Improved,1974,180000
2004-10,BUKIT TIMAH,4 ROOM,4,TOH YI DR,04 TO 06,104,Model A,1988,280000
2004-10,BUKIT TIMAH,4 ROOM,4,TOH YI DR,10 TO 12,104,Model A,1988,268000
2004-10,BUKIT TIMAH,EXECUTIVE,2,TOH YI DR,13 TO 15,154,Maisonette,1988,500800
2004-10,BUKIT TIMAH,EXECUTIVE,3,TOH YI DR,10 TO 12,146,Maisonette,1988,510000
2004-10,BUKIT TIMAH,EXECUTIVE,7,TOH YI DR,04 TO 06,154,Maisonette,1989,500000
2004-11,BUKIT TIMAH,3 ROOM,8,EMPRESS RD,01 TO 03,65,Improved,1976,143000
2004-11,BUKIT TIMAH,3 ROOM,8,EMPRESS RD,10 TO 12,65,Improved,1976,193000
2004-11,BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,04 TO 06,74,Improved,1974,195000
2004-11,BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,04 TO 06,73,Improved,1974,185000
2004-11,BUKIT TIMAH,4 ROOM,14,TOH YI DR,04 TO 06,104,Model A,1988,258000
2004-11,BUKIT TIMAH,5 ROOM,17,TOH YI DR,04 TO 06,122,Improved,1988,380000
2004-12,BUKIT TIMAH,3 ROOM,8,EMPRESS RD,07 TO 09,65,Improved,1976,180000
2004-12,BUKIT TIMAH,4 ROOM,3,QUEEN'S RD,07 TO 09,91,Improved,1974,267300
2004-12,BUKIT TIMAH,4 ROOM,16,TOH YI DR,10 TO 12,104,Model A,1988,300000
2004-12,BUKIT TIMAH,4 ROOM,4,TOH YI DR,10 TO 12,104,Model A,1988,320000
2004-12,BUKIT TIMAH,5 ROOM,17,TOH YI DR,07 TO 09,122,Improved,1988,330000
2005-01,BUKIT TIMAH,4 ROOM,4,TOH YI DR,10 TO 12,104,Model A,1988,300000
2005-01,BUKIT TIMAH,4 ROOM,12,TOH YI DR,04 TO 06,104,Model A,1989,297000
2005-01,BUKIT TIMAH,5 ROOM,4,TOH YI DR,07 TO 09,122,Improved,1988,360000
2005-01,BUKIT TIMAH,5 ROOM,5,TOH YI DR,04 TO 06,122,Improved,1989,330000
2005-01,BUKIT TIMAH,5 ROOM,11,TOH YI DR,04 TO 06,122,Improved,1989,350000
2005-01,BUKIT TIMAH,EXECUTIVE,15,TOH YI DR,01 TO 03,146,Maisonette,1988,370000
2005-02,BUKIT TIMAH,3 ROOM,8,EMPRESS RD,10 TO 12,65,Improved,1976,188500
2005-02,BUKIT TIMAH,4 ROOM,6,FARRER RD,10 TO 12,91,Improved,1974,277000
2005-02,BUKIT TIMAH,4 ROOM,3,QUEEN'S RD,07 TO 09,91,Improved,1974,290000
2005-02,BUKIT TIMAH,4 ROOM,4,TOH YI DR,07 TO 09,104,Model A,1988,310000
2005-02,BUKIT TIMAH,5 ROOM,1,QUEEN'S RD,07 TO 09,120,Standard,1974,308000
2005-03,BUKIT TIMAH,3 ROOM,8,EMPRESS RD,04 TO 06,65,Improved,1976,207000
2005-03,BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,07 TO 09,63,Improved,1974,182000
2005-03,BUKIT TIMAH,4 ROOM,6,FARRER RD,01 TO 03,91,Improved,1974,260000
2005-03,BUKIT TIMAH,4 ROOM,4,TOH YI DR,01 TO 03,104,Model A,1988,300000
2005-03,BUKIT TIMAH,5 ROOM,13,TOH YI DR,10 TO 12,128,Improved,1988,390000
2005-03,BUKIT TIMAH,5 ROOM,17,TOH YI DR,13 TO 15,122,Improved,1988,358000
2005-04,BUKIT TIMAH,3 ROOM,6,FARRER RD,04 TO 06,76,Improved,1974,220000
2005-04,BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,04 TO 06,74,Improved,1974,200000
2005-04,BUKIT TIMAH,4 ROOM,2,QUEEN'S RD,10 TO 12,89,Improved,1974,271000
2005-04,BUKIT TIMAH,5 ROOM,14,TOH YI DR,10 TO 12,122,Improved,1988,340000
2005-04,BUKIT TIMAH,5 ROOM,17,TOH YI DR,04 TO 06,122,Improved,1988,386000
2005-04,BUKIT TIMAH,5 ROOM,17,TOH YI DR,07 TO 09,122,Improved,1988,380000
2005-04,BUKIT TIMAH,5 ROOM,12,TOH YI DR,10 TO 12,122,Improved,1989,366000
2005-04,BUKIT TIMAH,5 ROOM,5,FARRER RD,13 TO 15,125,Standard,1974,420000
2005-04,BUKIT TIMAH,EXECUTIVE,6,TOH YI DR,07 TO 09,146,Maisonette,1989,452000
2005-05,BUKIT TIMAH,3 ROOM,8,EMPRESS RD,13 TO 15,65,Improved,1976,185000
2005-05,BUKIT TIMAH,3 ROOM,6,FARRER RD,07 TO 09,76,Improved,1974,206800
2005-05,BUKIT TIMAH,4 ROOM,9,TOH YI DR,01 TO 03,104,Model A,1989,252000
2005-06,BUKIT TIMAH,3 ROOM,8,EMPRESS RD,10 TO 12,65,Improved,1976,188000
2005-06,BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,10 TO 12,74,Improved,1974,213000
2005-06,BUKIT TIMAH,4 ROOM,6,FARRER RD,04 TO 06,91,Improved,1974,250000
2005-06,BUKIT TIMAH,4 ROOM,3,QUEEN'S RD,10 TO 12,91,Improved,1974,262500
2005-06,BUKIT TIMAH,4 ROOM,12,TOH YI DR,01 TO 03,104,Model A,1989,265000
2005-06,BUKIT TIMAH,4 ROOM,11,TOH YI DR,04 TO 06,108,Model A,1989,290000
2005-06,BUKIT TIMAH,5 ROOM,13,TOH YI DR,04 TO 06,122,Improved,1988,310000
2005-06,BUKIT TIMAH,5 ROOM,4,TOH YI DR,10 TO 12,122,Improved,1988,396000
2005-06,BUKIT TIMAH,EXECUTIVE,2,TOH YI DR,10 TO 12,146,Maisonette,1988,438000
2005-07,BUKIT TIMAH,3 ROOM,8,EMPRESS RD,04 TO 06,65,Improved,1976,183800
2005-07,BUKIT TIMAH,4 ROOM,17,TOH YI DR,13 TO 15,104,Model A,1988,296000
2005-07,BUKIT TIMAH,4 ROOM,11,TOH YI DR,04 TO 06,104,Model A,1989,298000
2005-07,BUKIT TIMAH,5 ROOM,17,TOH YI DR,07 TO 09,128,Improved,1988,340000
2005-07,BUKIT TIMAH,5 ROOM,5,FARRER RD,19 TO 21,120,Standard,1974,423000
2005-07,BUKIT TIMAH,EXECUTIVE,10,TOH YI DR,04 TO 06,146,Maisonette,1989,468000
2005-08,BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,07 TO 09,73,Improved,1974,178000
2005-08,BUKIT TIMAH,4 ROOM,4,TOH YI DR,13 TO 15,104,Model A,1988,308000
2005-08,BUKIT TIMAH,4 ROOM,5,TOH YI DR,01 TO 03,104,Model A,1989,260000
2005-08,BUKIT TIMAH,5 ROOM,4,TOH YI DR,04 TO 06,122,Improved,1988,325000
2005-08,BUKIT TIMAH,EXECUTIVE,7,TOH YI DR,04 TO 06,142,Apartment,1989,375000
2005-08,BUKIT TIMAH,EXECUTIVE,6,TOH YI DR,10 TO 12,154,Maisonette,1989,460000
2005-09,BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,10 TO 12,73,Improved,1974,208000
2005-09,BUKIT TIMAH,4 ROOM,3,QUEEN'S RD,04 TO 06,91,Improved,1974,260000
2005-09,BUKIT TIMAH,4 ROOM,4,TOH YI DR,04 TO 06,104,Model A,1988,302000
2005-09,BUKIT TIMAH,5 ROOM,16,TOH YI DR,10 TO 12,122,Improved,1988,350000
2005-09,BUKIT TIMAH,5 ROOM,5,TOH YI DR,07 TO 09,127,Improved,1989,386000
2005-09,BUKIT TIMAH,5 ROOM,5,TOH YI DR,13 TO 15,122,Improved,1989,368000
2005-09,BUKIT TIMAH,5 ROOM,11,TOH YI DR,07 TO 09,128,Improved,1989,375000
2005-09,BUKIT TIMAH,EXECUTIVE,2,TOH YI DR,01 TO 03,146,Maisonette,1988,377000
2005-10,BUKIT TIMAH,3 ROOM,8,EMPRESS RD,10 TO 12,65,Improved,1976,188000
2005-10,BUKIT TIMAH,4 ROOM,6,FARRER RD,07 TO 09,91,Improved,1974,270000
2005-10,BUKIT TIMAH,4 ROOM,2,QUEEN'S RD,04 TO 06,89,Improved,1974,277000
2005-10,BUKIT TIMAH,4 ROOM,13,TOH YI DR,07 TO 09,104,Model A,1988,298000
2005-10,BUKIT TIMAH,5 ROOM,1,QUEEN'S RD,13 TO 15,125,Standard,1974,406000
2005-10,BUKIT TIMAH,EXECUTIVE,15,TOH YI DR,01 TO 03,146,Maisonette,1988,375000
2005-10,BUKIT TIMAH,EXECUTIVE,2,TOH YI DR,10 TO 12,146,Maisonette,1988,455000
2005-10,BUKIT TIMAH,EXECUTIVE,3,TOH YI DR,04 TO 06,146,Maisonette,1988,405000
2005-10,BUKIT TIMAH,EXECUTIVE,6,TOH YI DR,04 TO 06,146,Maisonette,1989,455000
2005-11,BUKIT TIMAH,3 ROOM,8,EMPRESS RD,13 TO 15,76,Improved,1976,221888
2005-11,BUKIT TIMAH,4 ROOM,3,QUEEN'S RD,04 TO 06,91,Improved,1974,255000
2005-11,BUKIT TIMAH,4 ROOM,17,TOH YI DR,04 TO 06,104,Model A,1988,326000
2005-11,BUKIT TIMAH,EXECUTIVE,3,TOH YI DR,04 TO 06,154,Maisonette,1988,420000
2005-11,BUKIT TIMAH,EXECUTIVE,3,TOH YI DR,07 TO 09,154,Maisonette,1988,465000
2005-12,BUKIT TIMAH,4 ROOM,6,FARRER RD,07 TO 09,91,Improved,1974,264000
2005-12,BUKIT TIMAH,4 ROOM,17,TOH YI DR,04 TO 06,104,Model A,1988,270000
2005-12,BUKIT TIMAH,4 ROOM,5,TOH YI DR,04 TO 06,104,Model A,1989,296000
2005-12,BUKIT TIMAH,4 ROOM,11,TOH YI DR,04 TO 06,104,Model A,1989,290000
2005-12,BUKIT TIMAH,5 ROOM,13,TOH YI DR,04 TO 06,122,Improved,1988,320000
2005-12,BUKIT TIMAH,EXECUTIVE,3,TOH YI DR,04 TO 06,146,Maisonette,1988,408000
2005-12,BUKIT TIMAH,EXECUTIVE,10,TOH YI DR,04 TO 06,146,Maisonette,1989,438000
2006-01,BUKIT TIMAH,3 ROOM,8,EMPRESS RD,10 TO 12,65,Improved,1976,200000
2006-01,BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,01 TO 03,73,Improved,1974,178000
2006-01,BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,01 TO 03,73,Improved,1974,190000
2006-01,BUKIT TIMAH,4 ROOM,13,TOH YI DR,13 TO 15,104,Model A,1988,318000
2006-01,BUKIT TIMAH,4 ROOM,5,TOH YI DR,13 TO 15,104,Model A,1989,306500
2006-01,BUKIT TIMAH,5 ROOM,14,TOH YI DR,07 TO 09,122,Improved,1988,330000
2006-01,BUKIT TIMAH,5 ROOM,5,FARRER RD,07 TO 09,123,Standard,1974,420000
2006-01,BUKIT TIMAH,5 ROOM,1,QUEEN'S RD,16 TO 18,123,Standard,1974,385000
2006-01,BUKIT TIMAH,EXECUTIVE,3,TOH YI DR,01 TO 03,154,Maisonette,1988,395000
2006-02,BUKIT TIMAH,3 ROOM,8,EMPRESS RD,13 TO 15,76,Improved,1976,216000
2006-02,BUKIT TIMAH,4 ROOM,3,QUEEN'S RD,04 TO 06,91,Improved,1974,267000
2006-02,BUKIT TIMAH,4 ROOM,3,QUEEN'S RD,04 TO 06,91,Improved,1974,280000
2006-02,BUKIT TIMAH,EXECUTIVE,3,TOH YI DR,04 TO 06,150,Maisonette,1988,438000
2006-02,BUKIT TIMAH,EXECUTIVE,6,TOH YI DR,04 TO 06,146,Maisonette,1989,441000
2006-03,BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,07 TO 09,74,Improved,1974,219000
2006-03,BUKIT TIMAH,3 ROOM,18,TOH YI DR,04 TO 06,64,Simplified,1989,145000
2006-03,BUKIT TIMAH,4 ROOM,17,TOH YI DR,07 TO 09,104,Model A,1988,312000
2006-03,BUKIT TIMAH,5 ROOM,1,TOH YI DR,01 TO 03,122,Improved,1988,328000
2006-03,BUKIT TIMAH,EXECUTIVE,10,TOH YI DR,04 TO 06,154,Maisonette,1989,450000
2006-04,BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,10 TO 12,63,Improved,1974,185000
2006-04,BUKIT TIMAH,4 ROOM,2,QUEEN'S RD,04 TO 06,89,Improved,1974,272000
2006-04,BUKIT TIMAH,4 ROOM,14,TOH YI DR,10 TO 12,104,Model A,1988,305000
2006-04,BUKIT TIMAH,4 ROOM,11,TOH YI DR,07 TO 09,108,Model A,1989,305000
2006-04,BUKIT TIMAH,5 ROOM,1,QUEEN'S RD,04 TO 06,120,Standard,1974,412000
2006-05,BUKIT TIMAH,4 ROOM,13,TOH YI DR,04 TO 06,104,Model A,1988,298000
2006-05,BUKIT TIMAH,4 ROOM,9,TOH YI DR,07 TO 09,104,Model A,1989,302000
2006-05,BUKIT TIMAH,5 ROOM,14,TOH YI DR,04 TO 06,122,Improved,1988,328000
2006-05,BUKIT TIMAH,5 ROOM,16,TOH YI DR,04 TO 06,122,Improved,1988,333000
2006-05,BUKIT TIMAH,5 ROOM,1,QUEEN'S RD,04 TO 06,120,Standard,1974,405000
2006-05,BUKIT TIMAH,5 ROOM,1,QUEEN'S RD,04 TO 06,123,Standard,1974,370000
2006-05,BUKIT TIMAH,EXECUTIVE,7,TOH YI DR,01 TO 03,146,Maisonette,1989,426000
2006-06,BUKIT TIMAH,3 ROOM,8,EMPRESS RD,13 TO 15,65,Improved,1976,207000
2006-06,BUKIT TIMAH,3 ROOM,8,EMPRESS RD,01 TO 03,65,Improved,1976,143000
2006-06,BUKIT TIMAH,3 ROOM,8,EMPRESS RD,01 TO 03,65,Improved,1976,178000
2006-06,BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,04 TO 06,74,Improved,1974,206000
2006-06,BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,07 TO 09,63,Improved,1974,195000
2006-06,BUKIT TIMAH,4 ROOM,16,TOH YI DR,13 TO 15,104,Model A,1988,296000
2006-06,BUKIT TIMAH,5 ROOM,13,TOH YI DR,07 TO 09,122,Improved,1988,330000
2006-06,BUKIT TIMAH,5 ROOM,17,TOH YI DR,04 TO 06,122,Improved,1988,320000
2006-06,BUKIT TIMAH,EXECUTIVE,7,TOH YI DR,10 TO 12,146,Maisonette,1989,480000
2006-07,BUKIT TIMAH,3 ROOM,8,EMPRESS RD,04 TO 06,65,Improved,1976,178000
2006-07,BUKIT TIMAH,3 ROOM,8,EMPRESS RD,07 TO 09,65,Improved,1976,185000
2006-07,BUKIT TIMAH,4 ROOM,14,TOH YI DR,07 TO 09,104,Model A,1988,310000
2006-07,BUKIT TIMAH,4 ROOM,14,TOH YI DR,04 TO 06,104,Model A,1988,301000
2006-07,BUKIT TIMAH,5 ROOM,9,TOH YI DR,04 TO 06,122,Improved,1989,326000
2006-07,BUKIT TIMAH,EXECUTIVE,15,TOH YI DR,01 TO 03,146,Maisonette,1988,385000
2006-08,BUKIT TIMAH,3 ROOM,8,EMPRESS RD,13 TO 15,65,Improved,1976,230000
2006-08,BUKIT TIMAH,3 ROOM,18,TOH YI DR,01 TO 03,64,Simplified,1989,143000
2006-08,BUKIT TIMAH,4 ROOM,14,TOH YI DR,10 TO 12,104,Model A,1988,295000
2006-08,BUKIT TIMAH,5 ROOM,9,TOH YI DR,04 TO 06,122,Improved,1989,323000
2006-08,BUKIT TIMAH,5 ROOM,9,TOH YI DR,07 TO 09,122,Improved,1989,370000
2006-08,BUKIT TIMAH,EXECUTIVE,2,TOH YI DR,01 TO 03,146,Maisonette,1988,400000
2006-08,BUKIT TIMAH,EXECUTIVE,6,TOH YI DR,10 TO 12,146,Maisonette,1989,481000
2006-09,BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,10 TO 12,73,Improved,1974,188000
2006-09,BUKIT TIMAH,4 ROOM,4,TOH YI DR,04 TO 06,104,Model A,1988,320000
2006-09,BUKIT TIMAH,4 ROOM,4,TOH YI DR,07 TO 09,104,Model A,1988,306000
2006-09,BUKIT TIMAH,4 ROOM,11,TOH YI DR,01 TO 03,104,Model A,1989,290000
2006-09,BUKIT TIMAH,5 ROOM,16,TOH YI DR,01 TO 03,122,Improved,1988,313000
2006-09,BUKIT TIMAH,EXECUTIVE,7,TOH YI DR,04 TO 06,142,Apartment,1989,455000
2006-10,BUKIT TIMAH,4 ROOM,3,QUEEN'S RD,10 TO 12,91,Improved,1974,305000
2006-10,BUKIT TIMAH,4 ROOM,13,TOH YI DR,07 TO 09,104,Model A,1988,312000
2006-10,BUKIT TIMAH,5 ROOM,16,TOH YI DR,04 TO 06,122,Improved,1988,333000
2006-10,BUKIT TIMAH,5 ROOM,5,TOH YI DR,01 TO 03,128,Improved,1989,328000
2006-10,BUKIT TIMAH,5 ROOM,11,TOH YI DR,04 TO 06,122,Improved,1989,358000
2006-11,BUKIT TIMAH,3 ROOM,8,EMPRESS RD,07 TO 09,65,Improved,1976,215888
2006-11,BUKIT TIMAH,4 ROOM,6,FARRER RD,10 TO 12,91,Improved,1974,315000
2006-11,BUKIT TIMAH,4 ROOM,14,TOH YI DR,07 TO 09,104,Model A,1988,315000
2006-11,BUKIT TIMAH,4 ROOM,4,TOH YI DR,01 TO 03,104,Model A,1988,270000
2006-11,BUKIT TIMAH,4 ROOM,12,TOH YI DR,01 TO 03,104,Model A,1989,305000
2006-11,BUKIT TIMAH,4 ROOM,11,TOH YI DR,04 TO 06,108,Model A,1989,297000
2006-11,BUKIT TIMAH,4 ROOM,11,TOH YI DR,04 TO 06,108,Model A,1989,298000
2006-11,BUKIT TIMAH,EXECUTIVE,2,TOH YI DR,04 TO 06,146,Maisonette,1988,448000
2006-12,BUKIT TIMAH,3 ROOM,8,EMPRESS RD,10 TO 12,65,Improved,1976,224000
2006-12,BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,10 TO 12,73,Improved,1974,215000
2006-12,BUKIT TIMAH,4 ROOM,6,FARRER RD,10 TO 12,91,Improved,1974,285000
2006-12,BUKIT TIMAH,4 ROOM,13,TOH YI DR,07 TO 09,104,Model A,1988,302000
2006-12,BUKIT TIMAH,5 ROOM,16,TOH YI DR,10 TO 12,122,Improved,1988,337000
2006-12,BUKIT TIMAH,5 ROOM,1,TOH YI DR,01 TO 03,122,Improved,1988,328000
2007-01,BUKIT TIMAH,4 ROOM,2,QUEEN'S RD,01 TO 03,89,Improved,1974,274500
2007-01,BUKIT TIMAH,4 ROOM,13,TOH YI DR,01 TO 03,104,Model A,1988,295000
2007-01,BUKIT TIMAH,4 ROOM,17,TOH YI DR,01 TO 03,104,Model A,1988,290000
2007-01,BUKIT TIMAH,4 ROOM,5,TOH YI DR,07 TO 09,104,Model A,1989,296000
2007-01,BUKIT TIMAH,5 ROOM,13,TOH YI DR,13 TO 15,122,Improved,1988,340000
2007-01,BUKIT TIMAH,EXECUTIVE,15,TOH YI DR,01 TO 03,146,Maisonette,1988,395000
2007-02,BUKIT TIMAH,4 ROOM,5,TOH YI DR,04 TO 06,104,Model A,1989,310000
2007-02,BUKIT TIMAH,EXECUTIVE,6,TOH YI DR,04 TO 06,146,Maisonette,1989,453000
2007-02,BUKIT TIMAH,EXECUTIVE,8,TOH YI DR,01 TO 03,146,Maisonette,1989,443000
2007-03,BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,04 TO 06,73,Improved,1974,228000
2007-03,BUKIT TIMAH,4 ROOM,3,QUEEN'S RD,10 TO 12,91,Improved,1974,335000
2007-03,BUKIT TIMAH,4 ROOM,5,TOH YI DR,07 TO 09,104,Model A,1989,335000
2007-03,BUKIT TIMAH,4 ROOM,11,TOH YI DR,07 TO 09,104,Model A,1989,312000
2007-03,BUKIT TIMAH,5 ROOM,11,TOH YI DR,04 TO 06,122,Improved,1989,348000
2007-03,BUKIT TIMAH,5 ROOM,1,QUEEN'S RD,01 TO 03,123,Standard,1974,443800
2007-03,BUKIT TIMAH,EXECUTIVE,2,TOH YI DR,01 TO 03,154,Maisonette,1988,448000
2007-04,BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,07 TO 09,73,Improved,1974,230000
2007-04,BUKIT TIMAH,3 ROOM,3,QUEEN'S RD,10 TO 12,76,Improved,1974,245000
2007-04,BUKIT TIMAH,3 ROOM,19,TOH YI DR,01 TO 03,64,Simplified,1988,148000
2007-04,BUKIT TIMAH,4 ROOM,3,QUEEN'S RD,04 TO 06,91,Improved,1974,305000
2007-04,BUKIT TIMAH,4 ROOM,14,TOH YI DR,07 TO 09,104,Model A,1988,325000
2007-04,BUKIT TIMAH,5 ROOM,17,TOH YI DR,07 TO 09,122,Improved,1988,330000
2007-04,BUKIT TIMAH,5 ROOM,4,TOH YI DR,04 TO 06,122,Improved,1988,350888
2007-05,BUKIT TIMAH,4 ROOM,3,QUEEN'S RD,07 TO 09,91,Improved,1974,290000
2007-06,BUKIT TIMAH,4 ROOM,3,QUEEN'S RD,10 TO 12,91,Improved,1974,295000
2007-06,BUKIT TIMAH,4 ROOM,2,QUEEN'S RD,01 TO 03,89,Improved,1974,320000
2007-06,BUKIT TIMAH,4 ROOM,14,TOH YI DR,04 TO 06,104,Model A,1988,312000
2007-06,BUKIT TIMAH,EXECUTIVE,10,TOH YI DR,04 TO 06,146,Maisonette,1989,500000
2007-07,BUKIT TIMAH,3 ROOM,3,QUEEN'S RD,10 TO 12,76,Improved,1974,250000
2007-07,BUKIT TIMAH,4 ROOM,4,TOH YI DR,07 TO 09,104,Model A,1988,318000
2007-07,BUKIT TIMAH,5 ROOM,14,TOH YI DR,13 TO 15,122,Improved,1988,370000
2007-07,BUKIT TIMAH,5 ROOM,5,FARRER RD,13 TO 15,123,Standard,1974,550000
2007-07,BUKIT TIMAH,EXECUTIVE,7,TOH YI DR,04 TO 06,146,Apartment,1989,473000
2007-08,BUKIT TIMAH,5 ROOM,14,TOH YI DR,04 TO 06,122,Improved,1988,406000
2007-08,BUKIT TIMAH,5 ROOM,4,TOH YI DR,07 TO 09,122,Improved,1988,410000
2007-08,BUKIT TIMAH,5 ROOM,5,FARRER RD,16 TO 18,123,Standard,1974,510000
2007-08,BUKIT TIMAH,EXECUTIVE,3,TOH YI DR,07 TO 09,150,Maisonette,1988,638000
2007-09,BUKIT TIMAH,4 ROOM,14,TOH YI DR,01 TO 03,104,Model A,1988,320000
2007-09,BUKIT TIMAH,4 ROOM,4,TOH YI DR,01 TO 03,104,Model A,1988,280000
2007-09,BUKIT TIMAH,4 ROOM,11,TOH YI DR,04 TO 06,104,Model A,1989,332000
2007-09,BUKIT TIMAH,5 ROOM,9,TOH YI DR,01 TO 03,122,Improved,1989,340000
2007-09,BUKIT TIMAH,5 ROOM,11,TOH YI DR,01 TO 03,122,Improved,1989,405000
